,case,organ,dice,method
329,41,bladder,0.8737673759460449,06
330,42,bladder,0.8239221572875977,06
331,43,bladder,0.9221816658973694,06
332,44,bladder,0.8412030935287476,06
333,45,bladder,0.9067833423614502,06
334,46,bladder,0.8182359337806702,06
335,47,bladder,0.8753836750984192,06
336,0,rectum,0.659696102142334,06
337,1,rectum,0.6687818765640259,06
338,2,rectum,0.6842862963676453,06
339,3,rectum,0.7619428634643555,06
340,4,rectum,0.7056865692138672,06
341,5,rectum,0.7208560109138489,06
342,6,rectum,0.6083420515060425,06
343,7,rectum,0.801799476146698,06
344,8,rectum,0.7077409029006958,06
345,9,rectum,0.6395845413208008,06
346,10,rectum,0.6842105388641357,06
347,11,rectum,0.7682088613510132,06
348,12,rectum,0.6209269762039185,06
349,13,rectum,0.7553358674049377,06
350,14,rectum,0.7069035768508911,06
351,15,rectum,0.7154340744018555,06
352,16,rectum,0.5166240334510803,06
353,17,rectum,0.7594711184501648,06
354,18,rectum,0.7886165976524353,06
355,19,rectum,0.7453802227973938,06
356,20,rectum,0.538624107837677,06
357,21,rectum,0.7012338638305664,06
358,22,rectum,0.5881893038749695,06
359,23,rectum,0.7425198554992676,06
360,24,rectum,0.6017927527427673,06
361,25,rectum,0.7639029622077942,06
362,26,rectum,0.7978665232658386,06
363,27,rectum,0.7996485233306885,06
364,28,rectum,0.6754515171051025,06
365,29,rectum,0.842445969581604,06
366,30,rectum,0.774678111076355,06
367,31,rectum,0.7092878818511963,06
368,32,rectum,0.5298991799354553,06
369,33,rectum,0.8534522652626038,06
370,34,rectum,0.7640431523323059,06
371,35,rectum,0.8081859350204468,06
372,36,rectum,0.6219042539596558,06
373,37,rectum,0.6856849789619446,06
374,38,rectum,0.7135117650032043,06
375,39,rectum,0.7128623127937317,06
376,40,rectum,0.6012040972709656,06
377,41,rectum,0.6254947185516357,06
378,42,rectum,0.8281668424606323,06
379,43,rectum,0.6523198485374451,06
380,44,rectum,0.6205748319625854,06
381,45,rectum,0.5742504596710205,06
382,46,rectum,0.7655592560768127,06
383,47,rectum,0.8066844940185547,06
384,0,bladder,0.8802647590637207,07
385,1,bladder,0.8371785283088684,07
386,2,bladder,0.920413613319397,07
387,3,bladder,0.9220417737960815,07
388,4,bladder,0.8772878050804138,07
389,5,bladder,0.8914732336997986,07
390,6,bladder,0.6449187994003296,07
391,7,bladder,0.9103723764419556,07
392,8,bladder,0.8999149799346924,07
393,9,bladder,0.7237863540649414,07
394,10,bladder,0.8764580488204956,07
395,11,bladder,0.9142293930053711,07
396,12,bladder,0.9016959071159363,07
397,13,bladder,0.8716244697570801,07
398,14,bladder,0.8909950852394104,07
399,15,bladder,0.8819452524185181,07
400,16,bladder,0.8316817283630371,07
401,17,bladder,0.8841770887374878,07
402,18,bladder,0.7958799004554749,07
403,19,bladder,0.8644800782203674,07
404,20,bladder,0.8209807872772217,07
405,21,bladder,0.9267529249191284,07
406,22,bladder,0.8779164552688599,07
407,23,bladder,0.7732493281364441,07
408,24,bladder,0.9348989129066467,07
409,25,bladder,0.925123929977417,07
410,26,bladder,0.6589211821556091,07
411,27,bladder,0.8609963655471802,07
412,28,bladder,0.9178233742713928,07
413,29,bladder,0.8062722682952881,07
414,30,bladder,0.8339101076126099,07
415,31,bladder,0.8740386366844177,07
416,32,bladder,0.8597999215126038,07
